,Title,Author,Genre,Publish Date,Publisher,Format,Illustrator,Total Pages,Rating,Status (Read or Not),MSRP ,Special Edition?,ISBN
121,Dragon Ball Z Vol. 18,Akira Toriyama,Shonen,"January 4th, 2005",VIZ Media LLC,Paperback,Akira Toriyama,181,4.9/5,Yes,$9.99,No,978-1-59116-637-5
122,Dragon Ball Z Vol. 19,Akira Toriyama,Shonen,"April 5th, 2005",VIZ Media LLC,Paperback,Akira Toriyama,179,5.0/5,Yes,$9.99,No,978-1-59116-751-8
123,Dragon Ball Z Vol. 20,Akira Toriyama,Shonen,"May 31st, 2005",VIZ Media LLC,Paperback,Akira Toriyama,177,5.0/5,Yes,$9.99,No,978-1-59116-808-9
124,Dragon Ball Z Vol. 21,Akira Toriyama,Shonen,"August 2nd, 2005",VIZ Media LLC,Paperback,Akira Toriyama,191,3.75/5,Yes,$9.99,No,978-1-59116-873-7
125,Dragon Ball Z Vol. 22,Akira Toriyama,Shonen,"October 10th, 2005",VIZ Media LLC,Paperback,Akira Toriyama,191,5.0/5,Yes,$9.99,No,978-1-4215-0051-5
126,Dragon Ball Z Vol. 23,Akira Toriyama,Shonen,"December 5th, 2005",VIZ Media LLC,Paperback,Akira Toriyama,181,4.5/5,Yes,$9.99,No,978-1-4215-0148-2
127,Dragon Ball Z Vol. 24,Akira Toriyama,Shonen,"February 7th, 2006",VIZ Media LLC,Paperback,Akira Toriyama,181,4.4/5,Yes,$9.99,No,978-1-4215-0273-1
128,Dragon Ball Z Vol. 25,Akira Toriyama,Shonen,"April 4th, 2006",VIZ Media LLC,Paperback,Akira Toriyama,235,4.25/5,Yes,$9.99,No,978-1-4215-0404-9
129,Dragon Ball Z Vol. 26,Akira Toriyama,Shonen,"June 6th, 2006",VIZ Media LLC,Paperback,Akira Toriyama,243,4.5/5,Yes,$9.99,No,978-1-4215-0636-4
130,The Autobiography of Nikola Tesla and Other Works,Nikola Tesla & Thomas Commerford Martin,Autobiography,"December 21st, 2021",Canterbury Classics,Hardcover,N/A,742,,No,$24.99,Leatherbound Costco,978-1-64517-438-7
131,Diary of a Wimpy Kid #1,Jeff Kinney,Comedy,"April 1st, 2007",Amulet Books,Hardcover,Jeff Kinney,217,4.5/5,Yes,$14.99,No,978-1-4197-4185-2
132,Diary of a Wimpy Kid #2: Rodrick Rules,Jeff Kinney,Comedy,"February 1st, 2008",Amulet Books,Hardcover,Jeff Kinney,217,5.0/5,Yes,$14.99,No,978-1-4197-4186-9
133,Diary of a Wimpy Kid #3: The Last Straw,Jeff Kinney,Comedy,"January 1st, 2009",Amulet Books,Hardcover,Jeff Kinney,217,4.75/5,Yes,$13.95,No,978-0-8109-7068-7
134,Diary of a Wimpy Kid #4: Dog Days,Jeff Kinney,Comedy,"October 12th, 2009",Amulet Books,Hardcover,Jeff Kinney,217,3.75/5,Yes,$13.95,No,978-0-8109-8391-5
135,Diary of a Wimpy Kid #5: The Ugly Truth,Jeff Kinney,Comedy,"November 9th, 2010",Amulet Books,Hardcover,Jeff Kinney,217,4.85/5,Yes,$13.95,No,978-0-8109-8491-2
136,Diary of a Wimpy Kid #6: Cabin Fever,Jeff Kinney,Comedy,"November 15th, 2011",Amulet Books,Hardcover,Jeff Kinney,217,5.0/5,Yes,$13.95,No,978-1-4197-0223-5
137,Diary of a Wimpy Kid #7: The Third Wheel ,Jeff Kinney,Comedy,"November 13th, 2012",Amulet Books,Paperback,Jeff Kinney,217,4.0/5,Yes,$8.49,No,978-1-4197-0729-2
138,Diary of a Wimpy Kid #8: Hard Luck,Jeff Kinney,Comedy,"November 5th, 2013",Amulet Books,Paperback,Jeff Kinney,217,3.5/5,Yes,$8.99,No,978-1-4197-1176-3
139,Diary of a Wimpy Kid #9: The Long Haul,Jeff Kinney,Comedy,"November 4th, 2014",Amulet Books,Paperback,Jeff Kinney,217,4.25/5,Yes,$8.99,No,978-1-4197-1499-3
140,Diary of a Wimpy Kid #10: Old School,Jeff Kinney,Comedy,"November 3rd, 2015",Amulet Books,Paperback,Jeff Kinney,217,4.0/5,Yes,$8.99,No,978-1-4197-1961-5
